cnt	line1	line2
256854	add <- phi	add <- zext
245573	select <- icmp	select <- icmp
239010	select <- icmp	br <- select
236337	add <- phi	icmp <- phi
234447	trunc <- phi	and <- trunc
234447	and <- trunc	zext <- and
234447	zext <- and	add <- phi
234447	add <- zext	lshr <- phi
234447	lshr <- phi	add <- phi
234447	icmp <- phi	icmp <- add
234447	icmp <- add	select <- icmp
217822	br <- select	trunc <- phi
126911	icmp <- and	icmp <- and
117720	or <- icmp	or <- icmp
99363	icmp <- and	or <- icmp
75017	or <- icmp	br <- or
62886	icmp <- and	and <- icmp
62886	and <- icmp	and <- icmp
38819	br <- or	icmp <- and
33173	select <- or	select <- or
31401	and <- lshr	add <- and
29714	and <- icmp	br <- and
26252	and <- select	icmp <- and
21975	br <- and	icmp <- and
20047	zext <- and	icmp <- and
20047	or <- icmp	or <- zext
20047	or <- zext	select <- or
20047	select <- or	select <- zext
20046	and <- icmp	and <- lshr
18656	icmp <- add	br <- icmp
18275	select <- and	select <- add
16847	icmp <- phi	br <- icmp
16781	select <- icmp	select <- phi
16664	icmp <- select	br <- icmp
16651	icmp <- and	br <- icmp
16625	br <- icmp	icmp <- phi
16625	icmp <- phi	zext <- icmp
16625	zext <- icmp	add <- phi
16625	add <- zext	select <- icmp
16625	select <- phi	icmp <- add
16625	br <- icmp	icmp <- select
16625	br <- icmp	trunc <- select
16625	trunc <- select	and <- trunc
16625	and <- trunc	shl <- add
16625	shl <- add	add <- shl
16625	add <- shl	and <- add
16625	and <- add	or <- and
16625	or <- and	or <- and
16625	or <- phi	or <- phi
16586	br <- or	trunc <- phi
16586	br <- select	icmp <- phi
16586	or <- and	shl <- zext
16586	shl <- zext	or <- phi
16586	or <- phi	ret <- or
16586	ret <- or	ret <- phi
16504	add <- and	select <- and
14897	select <- icmp	select <- zext
14815	select <- add	icmp <- and
14352	icmp <- lshr	icmp <- lshr
13126	and <- select	zext <- and
13126	zext <- and	and <- select
13126	or <- icmp	and <- select
13126	icmp <- and	or <- zext
13126	or <- zext	select <- icmp
13126	select <- zext	select <- or
13126	select <- or	select <- select
13126	select <- select	select <- zext
13126	and <- icmp	or <- icmp
13126	or <- icmp	or <- and
13126	or <- and	lshr <- select
13126	lshr <- select	and <- lshr
13126	add <- and	select <- or
13126	select <- or	select <- add
12783	call <- call	icmp <- and
10101	ret <- phi	call <- call
10024	br <- or	lshr <- xor
10024	select <- zext	zext <- and
10023	select <- add	add <- select
10023	add <- select	add <- select
10023	call <- trunc	call <- add
9510	and <- or	icmp <- and
8334	select <- zext	icmp <- and
8253	lshr <- xor	trunc <- lshr
8253	trunc <- lshr	zext <- and
8252	select <- zext	mul <- select
8252	mul <- select	mul <- select
8252	mul <- select	icmp <- and
8252	add <- select	call <- trunc
8252	call <- add	call <- mul
8252	call <- mul	or <- icmp
7764	ret <- phi	icmp <- call
7739	br <- and	and <- or
7698	br <- or	icmp <- lshr
7698	icmp <- lshr	br <- icmp
7625	call <- call	call <- call
7607	br <- icmp	zext <- icmp
7607	zext <- icmp	xor <- lshr
7607	xor <- lshr	xor <- zext
7607	xor <- zext	trunc <- xor
7607	trunc <- xor	ret <- phi
7505	br <- icmp	switch <- and
7336	switch <- and	icmp <- and
7258	call <- sub	zext <- call
6731	icmp <- call	select <- icmp
6563	br <- icmp	call <- and
6563	call <- and	call <- and
6563	call <- and	icmp <- and
6563	select <- icmp	and <- select
6563	select <- zext	and <- select
6563	select <- add	lshr <- select
6563	lshr <- select	trunc <- lshr
6563	trunc <- lshr	lshr <- select
6563	lshr <- select	icmp <- lshr
6563	icmp <- lshr	sub <- select
6563	sub <- select	sub <- select
6563	sub <- select	br <- icmp
6563	shl <- select	shl <- zext
5782	icmp <- phi	and <- phi
5782	and <- phi	icmp <- and
5782	or <- icmp	zext <- or
5782	zext <- or	add <- phi
5782	add <- zext	icmp <- phi
3748	or <- icmp	select <- or
3748	select <- or	select <- xor
3748	select <- xor	call <- select
3748	call <- select	icmp <- and
3748	ret <- phi	ret <- call
3648	shl <- phi	add <- phi
3629	br <- icmp	call <- sub
3629	zext <- call	sub <- sub
3629	sub <- sub	sub <- call
3629	sub <- call	call <- sub
3629	zext <- call	shl <- select
3629	shl <- zext	sub <- select
3629	sub <- select	sub <- call
3629	sub <- call	lshr <- select
3629	lshr <- select	lshr <- zext
3629	lshr <- zext	add <- lshr
3629	add <- lshr	add <- shl
3629	add <- shl	add <- zext
3629	add <- zext	lshr <- select
3629	lshr <- select	lshr <- add
3629	lshr <- add	trunc <- lshr
3629	trunc <- lshr	and <- trunc
3629	and <- trunc	shl <- call
3629	shl <- call	xor <- shl
3629	xor <- shl	zext <- xor
3629	zext <- xor	and <- select
3629	and <- select	and <- zext
3629	and <- zext	zext <- and
3629	zext <- and	trunc <- add
3629	trunc <- add	shl <- zext
3629	shl <- zext	shl <- trunc
3629	shl <- trunc	zext <- shl
3629	zext <- shl	icmp <- and
3629	icmp <- and	icmp <- zext
3629	icmp <- zext	zext <- icmp
3629	zext <- icmp	call <- trunc
3629	call <- trunc	call <- sub
3629	call <- sub	call <- add
3629	call <- add	call <- and
3629	call <- and	call <- zext
3629	call <- zext	or <- icmp
3542	icmp <- shl	icmp <- select
3482	call <- phi	icmp <- and
2934	br <- icmp	icmp <- sub
2934	icmp <- sub	br <- icmp
2934	br <- icmp	zext <- sub
2934	zext <- sub	shl <- select
2934	shl <- zext	sub <- shl
2934	sub <- shl	sub <- select
2934	sub <- select	icmp <- sub
2934	icmp <- sub	icmp <- select
2934	icmp <- select	select <- icmp
2934	br <- select	call <- trunc
2934	call <- trunc	call <- phi
2934	call <- phi	call <- phi
2934	call <- phi	or <- icmp
2241	call <- load	call <- phi
2019	add <- phi	shl <- phi
2019	shl <- phi	udiv <- shl
2019	udiv <- shl	udiv <- select
2019	udiv <- select	add <- udiv
2019	add <- udiv	add <- shl
2019	add <- shl	urem <- shl
2019	urem <- shl	urem <- select
2019	urem <- select	icmp <- add
1797	zext <- icmp	select <- icmp
1771	icmp <- and	and <- or
1771	br <- icmp	icmp <- and
1771	br <- or	or <- icmp
1771	lshr <- xor	zext <- and
1771	add <- and	icmp <- and
1771	and <- lshr	sub <- and
1771	sub <- and	select <- and
1771	select <- and	select <- sub
1771	select <- sub	select <- and
1771	add <- select	shl <- phi
1771	br <- icmp	trunc <- lshr
1771	trunc <- lshr	shl <- urem
1771	shl <- urem	icmp <- shl
1771	icmp <- select	zext <- icmp
1771	zext <- icmp	icmp <- shl
1771	icmp <- select	icmp <- urem
1771	icmp <- urem	zext <- icmp
1771	select <- zext	call <- trunc
1771	call <- add	call <- add
1771	call <- add	call <- zext
1771	call <- zext	call <- select
1771	call <- select	or <- icmp
1629	br <- select	shl <- phi
1629	icmp <- phi	icmp <- phi
1629	icmp <- phi	select <- icmp
1494	ret <- call	call <- call
1494	load <- getelementptr	call <- load
1488	ret <- phi	call <- phi
1008	ret <- phi	icmp <- and
996	ret <- call	load <- getelementptr
994	icmp <- call	br <- icmp
992	call <- phi	call <- call
785	br <- icmp	ret <- phi
760	ret <- phi	lshr <- call
760	lshr <- call	sub <- lshr
760	sub <- lshr	call <- sub
760	call <- sub	call <- sub
760	call <- sub	icmp <- and
760	ret <- call	call <- sub
760	call <- sub	call <- call
747	call <- call	call <- load
747	call <- load	icmp <- and
498	ret <- call	call <- load
498	ret <- phi	load <- getelementptr
498	load <- getelementptr	call <- call
497	call <- call	call <- phi
394	br <- icmp	load <- getelementptr
249	br <- icmp	call <- load
248	br <- icmp	shl <- phi
248	br <- icmp	add <- phi
182	br <- icmp	call <- call
170	br <- icmp	call <- phi
169	switch <- and	ret <- phi
116	select <- icmp	select <- call
91	br <- icmp	icmp <- lshr
91	icmp <- lshr	zext <- icmp
91	zext <- icmp	ret <- phi
78	br <- or	and <- xor
78	and <- xor	ret <- phi
78	select <- call	load <- getelementptr
78	select <- phi	select <- icmp
78	select <- phi	select <- call
78	select <- call	call <- phi
41	br <- or	ret <- phi
39	icmp <- call	shl <- call
39	shl <- call	select <- icmp
39	select <- icmp	select <- shl
39	select <- shl	select <- call
39	select <- call	select <- icmp
39	select <- icmp	trunc <- lshr
39	trunc <- lshr	icmp <- select
39	br <- icmp	trunc <- phi
39	br <- select	icmp <- and
39	or <- and	shl <- trunc
39	shl <- trunc	or <- phi
39	or <- phi	ret <- phi
26	icmp <- call	zext <- icmp
26	select <- call	select <- phi
26	select <- phi	load <- getelementptr
13	call <- add	icmp <- call
13	ret <- phi	sub <- phi
13	sub <- phi	call <- sub
13	call <- sub	icmp <- call
13	ret <- phi	call <- alloca
13	call <- alloca	call <- call
13	call <- call	add <- phi
12	select <- call	getelementptr <- alloca
12	getelementptr <- alloca	getelementptr <- phi
12	getelementptr <- phi	getelementptr <- phi
12	getelementptr <- phi	store <- select
12	store <- select	store <- getelementptr
12	store <- getelementptr	add <- phi
12	add <- phi	icmp <- add
12	br <- icmp	call <- add
3	ret <- phi	store <- call
